"REGION TYPE","REGION","YEAR","WEEK","% WEIGHTED ILI","%UNWEIGHTED ILI","AGE 0-4","AGE 25-49","AGE 25-64","AGE 5-24","AGE 50-64","AGE 65","ILITOTAL","NUM. OF PROVIDERS","TOTAL PATIENTS"
"HHS Regions","Region 1",2010,40,0.415796,0.495312,91,34,NA,97,19,11,252,150,50877
"HHS Regions","Region 2",2010,40,1.16869,1.13745,429,246,NA,449,89,46,1259,154,110686
"HHS Regions","Region 3",2010,40,1.01984,1.12482,260,269,NA,439,90,61,1119,213,99483
"HHS Regions","Region 4",2010,40,0.937956,1.15532,679,291,NA,709,102,49,1830,409,158397
"HHS Regions","Region 5",2010,40,0.673682,0.835133,188,156,NA,303,60,51,758,262,90764
"HHS Regions","Region 6",2010,40,1.84949,2.01923,572,333,NA,552,105,76,1638,194,81120
"HHS Regions","Region 7",2010,40,0.991063,0.93958,58,48,NA,78,17,15,216,92,22989
"HHS Regions","Region 8",2010,40,0.659316,0.688494,82,58,NA,120,35,20,315,99,45752
"HHS Regions","Region 9",2010,40,1.73524,1.42154,255,224,NA,352,100,68,999,209,70276
"HHS Regions","Region 10",2010,40,0.530928,0.539,13,18,NA,43,10,3,87,56,16141
"HHS Regions","Region 1",2010,41,0.58519,0.64887,106,45,NA,127,15,14,307,151,47313
"HHS Regions","Region 2",2010,41,1.32645,1.35759,553,269,NA,504,101,67,1494,154,110048
"HHS Regions","Region 3",2010,41,1.2933,1.26966,308,349,NA,457,92,70,1276,215,100499
"HHS Regions","Region 4",2010,41,1.05782,1.28496,725,299,NA,825,95,64,2008,412,156269
"HHS Regions","Region 5",2010,41,0.754806,0.923484,278,161,NA,338,60,63,900,284,97457
"HHS Regions","Region 6",2010,41,1.86262,1.98193,531,330,NA,531,118,65,1575,189,79468
"HHS Regions","Region 7",2010,41,1.08027,0.988418,54,44,NA,100,15,14,227,91,22966
"HHS Regions","Region 8",2010,41,0.540524,0.579103,55,62,NA,110,18,12,257,102,44379
"HHS Regions","Region 9",2010,41,1.91822,1.58614,304,192,NA,467,111,70,1144,223,72125
"HHS Regions","Region 10",2010,41,0.970664,1.01235,39,28,NA,63,24,5,159,54,15706
"HHS Regions","Region 1",2010,42,0.587396,0.623754,98,54,NA,151,24,11,338,160,54188
"HHS Regions","Region 2",2010,42,1.21948,1.24332,519,251,NA,506,103,40,1419,162,114130
"HHS Regions","Region 3",2010,42,1.13853,1.2164,314,323,NA,474,119,84,1314,219,108024
"HHS Regions","Region 4",2010,42,1.04967,1.27593,748,330,NA,812,119,50,2059,405,161373
"HHS Regions","Region 5",2010,42,0.863591,1.00959,337,184,NA,346,67,53,987,278,97762
"HHS Regions","Region 6",2010,42,1.99312,2.06312,564,347,NA,653,87,54,1705,200,82642
"HHS Regions","Region 7",2010,42,1.06182,1.01452,74,46,NA,81,20,20,241,95,23755
"HHS Regions","Region 8",2010,42,0.620904,0.631963,58,79,NA,106,32,16,291,105,46047
"HHS Regions","Region 9",2010,42,1.98148,1.64201,288,253,NA,463,107,80,1191,231,72533
"HHS Regions","Region 10",2010,42,0.822039,0.820398,44,31,NA,49,12,3,139,52,16943
"HHS Regions","Region 1",2010,43,0.572541,0.615456,104,50,NA,144,25,22,345,165,56056
"HHS Regions","Region 2",2010,43,1.38946,1.28152,557,243,NA,544,92,40,1476,162,115176
"HHS Regions","Region 3",2010,43,1.0814,1.24766,330,326,NA,494,115,70,1335,218,107000
"HHS Regions","Region 4",2010,43,1.16973,1.38586,835,277,NA,949,100,47,2208,417,159324
"HHS Regions","Region 5",2010,43,0.861809,0.988713,324,202,NA,348,73,56,1003,288,101445
"HHS Regions","Region 6",2010,43,1.99243,2.08067,581,315,NA,619,96,82,1693,191,81368
"HHS Regions","Region 7",2010,43,0.845718,0.784242,56,53,NA,78,17,9,213,98,27160
"HHS Regions","Region 8",2010,43,0.72754,0.705801,77,59,NA,126,33,11,306,99,43355
"HHS Regions","Region 9",2010,43,1.77791,1.57914,318,202,NA,442,125,80,1167,234,73901
"HHS Regions","Region 10",2010,43,0.934162,0.960545,44,27,NA,78,6,3,158,57,16449
"HHS Regions","Region 1",2010,44,0.603793,0.643994,103,48,NA,152,19,16,338,163,52485
"HHS Regions","Region 2",2010,44,1.22194,1.39518,582,266,NA,531,91,48,1518,171,108803
"HHS Regions","Region 3",2010,44,1.22399,1.30668,320,324,NA,536,101,76,1357,222,103851
"HHS Regions","Region 4",2010,44,1.39923,1.67282,913,329,NA,1149,110,66,2567,409,153453
"HHS Regions","Region 5",2010,44,1.02943,1.12626,370,190,NA,411,93,65,1129,287,100243
"HHS Regions","Region 6",2010,44,2.24871,2.35225,620,378,NA,764,134,71,1967,192,83622
"HHS Regions","Region 7",2010,44,0.742364,0.667116,44,47,NA,65,14,8,178,98,26682
"HHS Regions","Region 8",2010,44,0.754633,0.771847,84,71,NA,153,27,19,354,108,45864
"HHS Regions","Region 9",2010,44,2.27503,1.91872,371,292,NA,553,135,79,1430,239,74529
"HHS Regions","Region 10",2010,44,0.900647,1.05685,44,36,NA,83,12,7,182,58,17221
"HHS Regions","Region 1",2010,45,0.556758,0.597641,99,49,NA,119,26,9,302,165,50532
"HHS Regions","Region 2",2010,45,1.39471,1.60078,792,250,NA,618,88,56,1804,172,112695
"HHS Regions","Region 3",2010,45,1.29275,1.41663,408,346,NA,570,104,67,1495,222,105532
"HHS Regions","Region 4",2010,45,1.56161,1.95809,1071,365,NA,1440,101,53,3030,414,154743
"HHS Regions","Region 5",2010,45,0.948068,1.07912,335,194,NA,383,90,71,1073,282,99433
"HHS Regions","Region 6",2010,45,2.36384,2.32952,668,349,NA,812,151,113,2093,198,89847
"HHS Regions","Region 7",2010,45,1.17186,1.11553,94,50,NA,123,14,25,306,100,27431
"HHS Regions","Region 8",2010,45,0.653131,0.663631,66,62,NA,117,29,16,290,97,43699
"HHS Regions","Region 9",2010,45,2.34478,1.79015,335,255,NA,442,119,88,1239,231,69212
"HHS Regions","Region 10",2010,45,1.02505,1.03808,59,36,NA,55,12,13,175,59,16858
"HHS Regions","Region 1",2010,46,0.705164,0.71949,107,59,NA,176,31,22,395,164,54900
"HHS Regions","Region 2",2010,46,1.42987,1.74926,830,363,NA,698,113,43,2047,174,117021
"HHS Regions","Region 3",2010,46,1.27122,1.44653,410,400,NA,528,100,74,1512,215,104526
"HHS Regions","Region 4",2010,46,1.82267,2.33141,1377,463,NA,1804,118,70,3832,413,164364
"HHS Regions","Region 5",2010,46,0.948368,1.08154,388,187,NA,382,76,39,1072,280,99118
"HHS Regions","Region 6",2010,46,2.40205,2.43491,664,386,NA,781,137,97,2065,190,84808
"HHS Regions","Region 7",2010,46,1.07974,1.00709,65,61,NA,108,20,16,270,100,26810
"HHS Regions","Region 8",2010,46,0.720076,0.728806,78,73,NA,141,17,9,318,92,43633
"HHS Regions","Region 9",2010,46,2.52885,2.16156,439,295,NA,626,149,112,1621,238,74992
"HHS Regions","Region 10",2010,46,1.18495,1.20953,58,40,NA,78,13,15,204,55,16866
"HHS Regions","Region 1",2010,47,0.820865,0.857945,107,58,NA,99,28,29,321,159,37415
"HHS Regions","Region 2",2010,47,1.65444,2.14984,959,321,NA,695,124,73,2172,172,101031
"HHS Regions","Region 3",2010,47,1.48456,1.58992,446,332,NA,493,102,91,1464,222,92080
"HHS Regions","Region 4",2010,47,2.19692,2.96651,1479,467,NA,1386,132,73,3537,421,119231
"HHS Regions","Region 5",2010,47,1.03662,1.26375,331,167,NA,303,61,55,917,284,72562
"HHS Regions","Region 6",2010,47,2.61929,2.69265,688,306,NA,518,114,82,1708,188,63432
"HHS Regions","Region 7",2010,47,1.00558,0.99356,47,39,NA,52,13,11,162,96,16305
"HHS Regions","Region 8",2010,47,0.719671,0.709284,63,53,NA,83,23,14,236,105,33273
"HHS Regions","Region 9",2010,47,2.83317,2.23447,426,264,NA,469,131,117,1407,240,62968
"HHS Regions","Region 10",2010,47,1.70828,1.88335,52,36,NA,47,15,5,155,51,8230
"HHS Regions","Region 1",2010,48,0.689018,0.753337,125,69,NA,174,27,17,412,166,54690
"HHS Regions","Region 2",2010,48,2.19869,2.42575,1338,421,NA,854,117,69,2799,170,115387
"HHS Regions","Region 3",2010,48,1.47526,1.54478,472,392,NA,554,132,109,1659,228,107394
"HHS Regions","Region 4",2010,48,1.94076,2.24884,1266,511,NA,1477,154,114,3522,419,156614
"HHS Regions","Region 5",2010,48,0.926949,1.06968,328,179,NA,378,88,64,1037,288,96945
"HHS Regions","Region 6",2010,48,2.46261,2.53594,759,379,NA,682,154,102,2076,192,81863
"HHS Regions","Region 7",2010,48,1.39302,1.33174,99,70,NA,103,30,21,323,97,24254
"HHS Regions","Region 8",2010,48,0.749755,0.74877,81,74,NA,129,39,21,344,103,45942
"HHS Regions","Region 9",2010,48,2.44015,2.2227,535,308,NA,568,161,97,1669,243,75089
"HHS Regions","Region 10",2010,48,0.973474,1.12733,42,37,NA,59,13,5,156,58,13838
"HHS Regions","Region 1",2010,49,0.760426,0.794859,138,53,NA,183,30,19,423,161,53217
"HHS Regions","Region 2",2010,49,2.48266,2.65528,1294,444,NA,1061,124,87,3010,168,113359
"HHS Regions","Region 3",2010,49,1.45221,1.60902,470,385,NA,566,92,92,1605,214,99750
"HHS Regions","Region 4",2010,49,2.24256,2.77862,1458,530,NA,1804,152,90,4034,416,145180
"HHS Regions","Region 5",2010,49,0.964041,1.15761,362,207,NA,385,79,58,1091,286,94246
"HHS Regions","Region 6",2010,49,2.33473,2.40649,541,400,NA,823,125,63,1952,190,81114
"HHS Regions","Region 7",2010,49,1.3103,1.25906,86,62,NA,111,18,41,318,100,25257
"HHS Regions","Region 8",2010,49,0.803936,0.764202,71,70,NA,142,36,20,339,103,44360
"HHS Regions","Region 9",2010,49,2.92539,2.77862,597,326,NA,729,225,148,2025,241,72878
"HHS Regions","Region 10",2010,49,1.05214,1.21555,43,34,NA,63,12,9,161,57,13245
"HHS Regions","Region 1",2010,50,0.802437,0.832277,158,62,NA,165,36,19,440,168,52867
"HHS Regions","Region 2",2010,50,3.01943,3.20675,1508,523,NA,1392,164,93,3680,168,114758
"HHS Regions","Region 3",2010,50,1.62095,1.70037,515,386,NA,502,90,81,1574,210,92568
"HHS Regions","Region 4",2010,50,3.33764,4.40479,2094,776,NA,2781,248,119,6018,413,136624
"HHS Regions","Region 5",2010,50,1.06663,1.30506,380,213,NA,418,70,57,1138,290,87199
"HHS Regions","Region 6",2010,50,2.8973,2.90562,683,388,NA,949,138,63,2221,182,76438
"HHS Regions","Region 7",2010,50,1.55739,1.45739,103,68,NA,127,28,36,362,98,24839
"HHS Regions","Region 8",2010,50,0.820845,0.795665,67,83,NA,120,33,23,326,98,40972
"HHS Regions","Region 9",2010,50,3.43547,3.14365,749,326,NA,702,212,150,2139,233,68042
"HHS Regions","Region 10",2010,50,0.981582,1.16805,43,22,NA,38,12,9,124,56,10616
"HHS Regions","Region 1",2010,51,1.01492,1.05532,139,61,NA,140,39,26,405,163,38377
"HHS Regions","Region 2",2010,51,4.21664,4.24355,1790,692,NA,1611,248,130,4471,169,105360
"HHS Regions","Region 3",2010,51,2.17871,2.15613,611,441,NA,546,157,103,1858,208,86173
"HHS Regions","Region 4",2010,51,4.39114,6.00586,2445,1004,NA,2656,318,173,6596,383,109826
"HHS Regions","Region 5",2010,51,1.38365,1.91246,535,231,NA,409,101,65,1341,275,70119
"HHS Regions","Region 6",2010,51,3.8447,3.81037,731,493,NA,881,175,120,2400,160,62986
"HHS Regions","Region 7",2010,51,1.98246,1.74216,106,80,NA,97,21,31,335,99,19229
"HHS Regions","Region 8",2010,51,0.892953,1.00549,93,50,NA,110,28,21,302,92,30035
"HHS Regions","Region 9",2010,51,4.16915,3.50819,788,346,NA,563,165,163,2025,234,57722
"HHS Regions","Region 10",2010,51,1.25744,1.93496,57,35,NA,58,10,6,166,57,8579
"HHS Regions","Region 1",2010,52,1.13074,1.24659,157,72,NA,117,43,22,411,166,32970
"HHS Regions","Region 2",2010,52,4.47832,4.40213,1672,821,NA,1270,259,151,4173,165,94795
"HHS Regions","Region 3",2010,52,2.61376,2.38749,663,578,NA,539,223,128,2131,207,89257
"HHS Regions","Region 4",2010,52,3.99718,5.12412,2393,1293,NA,1847,374,240,6147,407,119962
"HHS Regions","Region 5",2010,52,1.69891,2.35286,642,320,NA,447,99,105,1613,273,68555
"HHS Regions","Region 6",2010,52,3.77879,4.1885,917,804,NA,868,269,204,3062,183,73105
"HHS Regions","Region 7",2010,52,2.28887,2.2279,114,82,NA,100,39,40,375,94,16832
"HHS Regions","Region 8",2010,52,0.985023,1.11879,102,78,NA,95,41,16,332,87,29675
"HHS Regions","Region 9",2010,52,4.16749,3.2349,762,353,NA,432,214,155,1916,249,59229
"HHS Regions","Region 10",2010,52,2.35441,2.18824,56,54,NA,49,20,7,186,56,8500
"HHS Regions","Region 1",2011,1,0.959888,0.98727,164,108,NA,161,43,32,508,166,51455
"HHS Regions","Region 2",2011,1,3.33753,3.29682,1384,860,NA,1153,308,168,3873,166,117477
"HHS Regions","Region 3",2011,1,2.20241,2.2967,643,727,NA,689,189,132,2380,213,103627
"HHS Regions","Region 4",2011,1,3.25044,3.89317,1989,1083,NA,1872,369,193,5506,422,141427
"HHS Regions","Region 5",2011,1,1.52658,1.92114,563,361,NA,525,134,94,1677,276,87292
"HHS Regions","Region 6",2011,1,3.33221,3.4825,897,666,NA,956,213,177,2909,185,83532
"HHS Regions","Region 7",2011,1,1.67952,1.66817,119,84,NA,124,30,32,389,99,23319
"HHS Regions","Region 8",2011,1,0.724956,0.8338,79,87,NA,132,39,20,357,87,42816
"HHS Regions","Region 9",2011,1,3.23196,2.78966,696,432,NA,672,247,190,2237,256,80189
"HHS Regions","Region 10",2011,1,1.44406,1.47184,50,47,NA,58,14,21,190,53,12909
"HHS Regions","Region 1",2011,2,1.18688,1.20164,216,99,NA,174,41,25,555,169,46187
"HHS Regions","Region 2",2011,2,3.83669,3.29283,1140,698,NA,1258,263,137,3496,164,106170
"HHS Regions","Region 3",2011,2,2.45368,2.60583,645,793,NA,945,237,134,2754,226,105686
"HHS Regions","Region 4",2011,2,3.61067,3.84329,1668,802,NA,2098,270,124,4962,415,129108
"HHS Regions","Region 5",2011,2,1.73968,2.17022,610,393,NA,715,111,99,1928,276,88839
"HHS Regions","Region 6",2011,2,4.42108,4.39163,1025,725,NA,1349,262,174,3535,179,80494
"HHS Regions","Region 7",2011,2,1.74762,1.64076,98,69,NA,140,42,31,380,98,23160
"HHS Regions","Region 8",2011,2,1.35589,1.13397,83,103,NA,166,36,21,409,81,36068
"HHS Regions","Region 9",2011,2,3.4291,2.98214,696,470,NA,837,259,198,2460,256,82491
"HHS Regions","Region 10",2011,2,1.48738,1.76578,57,68,NA,91,16,10,242,57,13705
"HHS Regions","Region 1",2011,3,1.20524,1.22017,177,98,NA,218,46,29,568,171,46551
"HHS Regions","Region 2",2011,3,3.65077,3.02833,1083,658,NA,1164,225,121,3251,166,107353
"HHS Regions","Region 3",2011,3,3.28175,3.52709,832,1163,NA,1436,299,165,3895,230,110431
"HHS Regions","Region 4",2011,3,4.23423,4.44884,1880,984,NA,3393,282,113,6652,427,149522
"HHS Regions","Region 5",2011,3,2.44083,2.96976,760,469,NA,1259,137,95,2720,277,91590
"HHS Regions","Region 6",2011,3,5.74786,5.67214,1423,984,NA,2196,347,180,5130,193,90442
"HHS Regions","Region 7",2011,3,1.95837,1.92172,135,103,NA,192,32,27,489,100,25446
"HHS Regions","Region 8",2011,3,1.44967,1.53432,144,144,NA,265,50,24,627,93,40865
"HHS Regions","Region 9",2011,3,3.76368,3.41842,741,436,NA,1000,294,178,2649,253,77492
"HHS Regions","Region 10",2011,3,1.47542,2.27011,72,56,NA,120,22,6,276,54,12158
"HHS Regions","Region 1",2011,4,1.40872,1.48875,244,130,NA,322,53,31,780,161,52393
"HHS Regions","Region 2",2011,4,3.93498,2.91726,894,600,NA,1351,141,74,3060,169,104893
"HHS Regions","Region 3",2011,4,4.04917,4.26553,857,1363,NA,2054,333,193,4800,226,112530
"HHS Regions","Region 4",2011,4,5.02216,5.15916,2345,1066,NA,4561,355,153,8480,429,164368
"HHS Regions","Region 5",2011,4,3.33709,3.83761,897,687,NA,1966,158,75,3783,275,98577
"HHS Regions","Region 6",2011,4,6.90089,6.37602,1419,1161,NA,2665,323,146,5714,188,89617
"HHS Regions","Region 7",2011,4,3.27881,3.21918,176,160,NA,461,44,37,878,99,27274
"HHS Regions","Region 8",2011,4,1.53869,1.83981,148,185,NA,355,65,28,781,88,42450
"HHS Regions","Region 9",2011,4,4.22906,3.63208,936,550,NA,1392,304,182,3364,255,92619
"HHS Regions","Region 10",2011,4,2.07762,2.4073,91,50,NA,164,18,12,335,57,13916
"HHS Regions","Region 1",2011,5,1.87486,1.91724,236,157,NA,464,39,33,929,171,48455
"HHS Regions","Region 2",2011,5,4.05683,2.8588,927,507,NA,1445,139,92,3110,163,108787
"HHS Regions","Region 3",2011,5,4.41603,4.72139,911,1605,NA,2449,418,250,5633,233,119308
"HHS Regions","Region 4",2011,5,5.50707,5.60304,2464,1177,NA,4839,389,203,9072,427,161912
"HHS Regions","Region 5",2011,5,3.78044,4.24329,860,812,NA,1763,191,82,3708,281,87385
"HHS Regions","Region 6",2011,5,7.60514,7.63539,1449,1327,NA,2846,442,293,6357,200,83257
"HHS Regions","Region 7",2011,5,4.31794,4.04619,188,132,NA,472,42,28,862,96,21304
"HHS Regions","Region 8",2011,5,2.2115,2.36038,179,213,NA,480,65,30,967,88,40968
"HHS Regions","Region 9",2011,5,4.04219,3.66519,886,541,NA,1424,241,175,3267,259,89136
"HHS Regions","Region 10",2011,5,2.63905,3.04125,95,65,NA,184,24,11,379,52,12462
"HHS Regions","Region 1",2011,6,1.99294,2.0703,264,173,NA,664,66,31,1198,167,57866
"HHS Regions","Region 2",2011,6,4.09076,2.88752,894,505,NA,1684,175,80,3338,160,115601
"HHS Regions","Region 3",2011,6,4.05556,4.52279,907,1598,NA,2328,399,256,5488,224,121341
"HHS Regions","Region 4",2011,6,5.22451,5.42422,2411,1173,NA,4705,334,165,8788,428,162014
"HHS Regions","Region 5",2011,6,3.3294,3.65033,831,768,NA,1780,193,96,3668,284,100484
"HHS Regions","Region 6",2011,6,7.77494,7.47696,1320,1420,NA,2416,403,226,5785,189,77371
"HHS Regions","Region 7",2011,6,3.68418,3.51263,201,167,NA,504,45,26,943,95,26846
"HHS Regions","Region 8",2011,6,2.5188,2.66764,235,272,NA,621,81,29,1238,93,46408
"HHS Regions","Region 9",2011,6,4.52405,3.9732,896,644,NA,1605,273,175,3593,265,90431
"HHS Regions","Region 10",2011,6,2.47084,3.00692,77,92,NA,209,27,12,417,56,13868
"HHS Regions","Region 1",2011,7,2.31154,2.40399,287,197,NA,751,68,36,1339,166,55699
"HHS Regions","Region 2",2011,7,4.25042,2.9446,928,512,NA,1734,141,48,3363,151,114209
"HHS Regions","Region 3",2011,7,3.96545,4.61199,864,1550,NA,2415,425,351,5605,224,121531
"HHS Regions","Region 4",2011,7,4.80563,4.96053,2228,1223,NA,4150,398,189,8188,409,165063
"HHS Regions","Region 5",2011,7,3.31857,3.60457,850,699,NA,1827,187,96,3659,275,101510
"HHS Regions","Region 6",2011,7,7.94874,7.84706,1533,1850,NA,3344,680,281,7688,189,97973
"HHS Regions","Region 7",2011,7,4.52672,4.29399,256,202,NA,642,54,32,1186,96,27620
"HHS Regions","Region 8",2011,7,2.65461,2.85394,240,253,NA,661,76,44,1274,89,44640
"HHS Regions","Region 9",2011,7,4.6947,4.07985,845,671,NA,1685,296,190,3687,259,90371
"HHS Regions","Region 10",2011,7,3.91067,4.45163,141,100,NA,284,27,26,578,52,12984
"HHS Regions","Region 1",2011,8,2.32248,2.47926,268,262,NA,575,116,31,1252,167,50499
"HHS Regions","Region 2",2011,8,4.31914,2.96632,1040,558,NA,1388,160,92,3238,152,109159
"HHS Regions","Region 3",2011,8,3.56746,4.10813,805,1513,NA,1855,398,318,4889,226,119008
"HHS Regions","Region 4",2011,8,3.86862,4.04289,1999,1080,NA,3065,344,209,6697,411,165649
"HHS Regions","Region 5",2011,8,3.13872,3.39766,852,632,NA,1471,183,98,3236,273,95242
"HHS Regions","Region 6",2011,8,6.25285,6.08464,1398,1253,NA,2507,366,191,5715,187,93925
"HHS Regions","Region 7",2011,8,4.67032,4.41171,308,231,NA,627,56,54,1276,98,28923
"HHS Regions","Region 8",2011,8,2.51181,2.76227,226,231,NA,572,86,48,1163,87,42103
"HHS Regions","Region 9",2011,8,4.72162,3.91641,818,572,NA,1432,288,196,3306,256,84414
"HHS Regions","Region 10",2011,8,3.4573,4.03129,125,93,NA,226,31,30,505,51,12527
"HHS Regions","Region 1",2011,9,1.75247,1.87412,225,199,NA,457,103,51,1035,165,55226
"HHS Regions","Region 2",2011,9,3.44821,2.35697,858,492,NA,1094,140,69,2653,148,112560
"HHS Regions","Region 3",2011,9,2.9587,3.30566,667,1042,NA,1537,324,265,3835,221,116013
"HHS Regions","Region 4",2011,9,2.8014,2.90504,1367,701,NA,2012,257,130,4467,398,153767
"HHS Regions","Region 5",2011,9,2.85753,3.09787,859,522,NA,1304,172,105,2962,277,95614
"HHS Regions","Region 6",2011,9,4.74045,4.66002,1051,795,NA,1510,273,224,3853,167,82682
"HHS Regions","Region 7",2011,9,3.73408,3.6887,235,184,NA,537,57,43,1056,98,28628
"HHS Regions","Region 8",2011,9,2.24292,2.53269,205,242,NA,500,106,51,1104,84,43590
"HHS Regions","Region 9",2011,9,4.53929,3.88142,757,588,NA,1291,267,187,3090,253,79610
"HHS Regions","Region 10",2011,9,3.33706,4.10359,152,104,NA,254,41,21,572,49,13939
"HHS Regions","Region 1",2011,10,1.65827,1.81286,245,171,NA,450,63,31,960,156,52955
"HHS Regions","Region 2",2011,10,3.18862,2.10589,726,372,NA,994,126,65,2283,143,108410
"HHS Regions","Region 3",2011,10,2.58462,2.66948,569,767,NA,1031,256,207,2830,213,106013
"HHS Regions","Region 4",2011,10,2.49945,2.58458,1212,523,NA,1421,191,96,3443,382,133213
"HHS Regions","Region 5",2011,10,2.51636,2.6587,761,470,NA,1085,140,101,2557,271,96175
"HHS Regions","Region 6",2011,10,3.57418,3.59841,827,638,NA,1163,201,115,2944,172,81814
"HHS Regions","Region 7",2011,10,3.46795,3.32065,202,157,NA,387,50,42,838,95,25236
"HHS Regions","Region 8",2011,10,2.13623,2.21799,231,232,NA,413,84,42,1002,91,45176
"HHS Regions","Region 9",2011,10,4.21272,3.47631,785,511,NA,1221,274,185,2976,254,85608
"HHS Regions","Region 10",2011,10,3.20568,4.06182,133,98,NA,262,36,15,544,52,13393
"HHS Regions","Region 1",2011,11,1.36504,1.47429,220,138,NA,314,48,36,756,159,51279
"HHS Regions","Region 2",2011,11,3.17757,2.05619,788,340,NA,910,113,65,2216,142,107772
"HHS Regions","Region 3",2011,11,2.03908,2.17808,514,616,NA,931,201,181,2443,217,112163
"HHS Regions","Region 4",2011,11,1.97996,2.07046,1094,408,NA,1205,167,94,2968,386,143350
"HHS Regions","Region 5",2011,11,2.40202,2.54729,826,383,NA,821,88,97,2215,261,86955
"HHS Regions","Region 6",2011,11,3.01461,3.09767,722,563,NA,891,206,80,2462,180,79479
"HHS Regions","Region 7",2011,11,2.28107,2.20245,134,121,NA,184,37,24,500,90,22702
"HHS Regions","Region 8",2011,11,1.697,1.74848,198,167,NA,346,59,45,815,89,46612
"HHS Regions","Region 9",2011,11,3.92503,3.2061,768,458,NA,939,221,159,2545,251,79380
"HHS Regions","Region 10",2011,11,3.07455,3.2109,99,71,NA,161,35,23,389,48,12115
"HHS Regions","Region 1",2011,12,1.02294,1.16698,183,96,NA,289,28,20,616,155,52786
"HHS Regions","Region 2",2011,12,2.49454,1.92384,667,308,NA,906,112,49,2042,143,106142
"HHS Regions","Region 3",2011,12,1.6746,1.72993,428,468,NA,708,161,104,1869,206,108039
"HHS Regions","Region 4",2011,12,1.60573,1.66264,966,336,NA,976,138,74,2490,381,149762
"HHS Regions","Region 5",2011,12,1.61533,1.88433,581,277,NA,681,104,74,1717,260,91120
"HHS Regions","Region 6",2011,12,2.89336,2.94501,666,421,NA,690,149,105,2031,176,68964
"HHS Regions","Region 7",2011,12,1.74696,1.7106,103,83,NA,123,27,17,353,86,20636
"HHS Regions","Region 8",2011,12,1.39708,1.43239,157,144,NA,294,60,21,676,91,47194
"HHS Regions","Region 9",2011,12,2.99716,2.56864,563,340,NA,691,174,133,1901,242,74008
"HHS Regions","Region 10",2011,12,2.79447,3.28382,86,78,NA,131,25,16,336,50,10232
"HHS Regions","Region 1",2011,13,1.11948,1.20439,203,75,NA,327,47,31,683,164,56709
"HHS Regions","Region 2",2011,13,2.74673,1.94582,735,290,NA,879,114,50,2068,141,106279
"HHS Regions","Region 3",2011,13,1.54238,1.65572,421,432,NA,636,149,127,1765,205,106600
"HHS Regions","Region 4",2011,13,1.48932,1.58735,877,327,NA,917,103,78,2302,370,145022
"HHS Regions","Region 5",2011,13,1.52675,1.74932,557,264,NA,561,92,84,1558,253,89063
"HHS Regions","Region 6",2011,13,2.00158,2.06325,532,326,NA,648,103,65,1674,174,81134
"HHS Regions","Region 7",2011,13,1.39176,1.37669,72,55,NA,103,14,13,257,84,18668
"HHS Regions","Region 8",2011,13,1.10508,1.17928,160,95,NA,173,44,26,498,86,42229
"HHS Regions","Region 9",2011,13,2.84696,2.34831,550,339,NA,703,190,128,1910,247,81335
"HHS Regions","Region 10",2011,13,1.65878,1.96174,82,41,NA,78,21,20,242,46,12336
"HHS Regions","Region 1",2011,14,0.934313,1.05528,172,77,NA,286,27,17,579,145,54867
"HHS Regions","Region 2",2011,14,2.46478,1.93576,731,322,NA,895,103,42,2093,138,108123
"HHS Regions","Region 3",2011,14,1.50303,1.42529,323,403,NA,591,106,110,1533,203,107557
"HHS Regions","Region 4",2011,14,1.29491,1.42094,811,280,NA,773,93,52,2009,365,141385
"HHS Regions","Region 5",2011,14,1.2669,1.50218,467,177,NA,507,80,64,1295,250,86208
"HHS Regions","Region 6",2011,14,1.83492,1.99956,480,288,NA,580,123,91,1562,175,78117
"HHS Regions","Region 7",2011,14,1.21802,1.13805,64,41,NA,97,10,18,230,86,20210
"HHS Regions","Region 8",2011,14,0.82457,0.880982,103,79,NA,138,24,17,361,79,40977
"HHS Regions","Region 9",2011,14,2.39777,2.03859,496,264,NA,613,163,88,1624,237,79663
"HHS Regions","Region 10",2011,14,1.18923,1.76932,54,54,NA,77,18,9,212,45,11982
"HHS Regions","Region 1",2011,15,0.834506,0.973051,174,61,NA,211,32,21,499,141,51282
"HHS Regions","Region 2",2011,15,2.22908,1.65522,654,247,NA,667,85,49,1702,135,102826
"HHS Regions","Region 3",2011,15,1.42574,1.32864,268,265,NA,455,73,72,1133,185,85275
"HHS Regions","Region 4",2011,15,1.15797,1.27513,758,226,NA,635,90,66,1775,361,139202
"HHS Regions","Region 5",2011,15,0.902013,1.05834,310,155,NA,349,60,55,929,250,87779
"HHS Regions","Region 6",2011,15,1.46036,1.56035,369,244,NA,431,83,50,1177,166,75432
"HHS Regions","Region 7",2011,15,1.04518,0.975513,47,33,NA,92,14,10,196,83,20092
"HHS Regions","Region 8",2011,15,0.79173,0.777068,97,60,NA,129,27,18,331,85,42596
"HHS Regions","Region 9",2011,15,2.29387,1.92534,417,255,NA,517,164,103,1456,232,75623
"HHS Regions","Region 10",2011,15,1.22909,1.66379,70,28,NA,76,13,6,193,43,11600
"HHS Regions","Region 1",2011,16,0.779753,0.885076,146,65,NA,136,25,18,390,150,44064
"HHS Regions","Region 2",2011,16,2.19754,1.65673,655,252,NA,571,89,59,1626,131,98145
